YEAR,MAX,MIN
1947,75.4,65.3
1948,84.4,70.3
1949,85.3,70.3
1950,75.4,54.3
1951,85.3,48.4
1952,91.2,61.3
1953,79.3,63.3
1954,82.4,58.3
1955,84.4,69.3
1956,87.3,50.4
1957,90.3,63.3
1958,79.3,65.3
1959,82.0,60.1
1960,76.3,61.3
1961,78.4,48.4
1962,85.3,64.9
1963,79.3,65.3
1964,73.9,56.3
1965,78.1,43.0
1966,86.0,70.0
1967,75.9,48.0
1968,81.3,48.9
1969,64.9,61.0
1973,87.1,62.1
1974,82.0,53.1
1975,80.1,70.0
1976,87.1,59.0
1977,96.1,77.9
1978,87.1,68.0
1979,78.1,43.0
1980,75.9,52.0
1981,87.1,57.9
1982,95.0,75.9
1983,71.1,46.0
1984,84.0,57.0
1985,81.0,59.0
1986,91.0,70.0
1987,91.9,68.0
1988,99.0,60.1
1989,95.0,60.1
1990,69.1,57.0
1991,95.0,63.0
1992,78.1,51.1
1993,89.1,66.0
1994,95.0,73.9
1995,84.9,64.9
1996,88.0,57.9
1997,80.1,60.1
1998,86.0,69.1
1999,90.0,77.9
2000,84.0,64.9
2001,81.0,50.0
2002,84.0,66.9
2003,88.0,68.0
2004,82.9,62.1
2005,87.1,63.0
2006,78.1,59.0
2007,89.1,66.0
2008,87.1,54.0
2009,86.0,57.0
2010,91.0,75.9
2011,91.0,68.0
2012,102.9,79.0
2013,86.0,60.1
2014,87.1,60.1
2015,84.9,60.1
2016,88.0,66.0
2017,93.0,64.9
2018,91.9,69.1
