YEAR,MAX,MIN
1947,86.4,73.4
1948,80.2,60.3
1949,92.3,70.3
1950,88.3,57.4
1951,79.3,60.3
1952,78.3,67.3
1953,78.3,59.4
1954,82.4,58.3
1955,79.3,56.3
1956,87.3,72.3
1957,86.4,65.3
1958,86.4,57.4
1959,78.4,61.0
1960,80.4,65.3
1961,86.4,70.0
1962,74.3,60.4
1963,81.0,56.3
1964,70.3,45.0
1965,78.1,62.1
1966,77.0,55.0
1967,75.9,66.9
1968,90.3,69.1
1969,82.0,68.0
1973,88.9,73.0
1974,81.0,66.9
1975,90.0,66.9
1976,82.0,50.9
1977,79.9,68.0
1978,88.0,65.8
1979,91.0,68.0
1980,90.0,70.9
1981,81.0,59.9
1982,86.0,57.9
1983,98.1,72.0
1984,93.0,64.0
1985,89.1,55.0
1986,84.9,57.9
1987,80.1,70.0
1988,99.0,70.0
1989,81.0,53.1
1990,84.9,55.0
1991,79.0,62.1
1992,93.0,66.9
1993,82.0,54.0
1994,68.0,57.9
1995,88.0,69.1
1996,80.1,62.1
1997,77.0,64.9
1998,84.9,70.0
1999,77.0,54.0
2000,88.0,72.0
2001,95.0,73.9
2002,82.9,57.0
2003,77.0,63.0
2004,84.9,64.9
2005,95.0,63.0
2006,86.0,68.0
2007,84.0,71.6
2008,80.1,62.1
2009,91.0,68.0
2010,88.0,71.1
2011,80.1,64.0
2012,75.0,64.4
2013,82.0,59.0
2014,82.0,66.0
2015,82.0,66.9
2016,88.0,66.9
2017,84.0,57.9
2018,89.1,69.1
