YEAR,MAX,MIN
1947,45.3,30.4
1948,20.3,0.3
1949,31.3,24.4
1950,65.3,37.4
1951,17.4,2.5
1952,37.4,14.4
1953,27.3,19.4
1954,38.3,25.3
1955,30.4,6.4
1956,29.3,24.4
1957,25.3,16.3
1958,32.4,26.4
1959,35.1,19.0
1960,32.4,14.0
1961,16.3,-7.6
1962,38.3,19.0
1963,8.4,-9.0
1964,46.9,18.0
1965,34.0,23.0
1966,22.3,3.9
1967,61.0,30.9
1968,32.4,18.0
1969,12.4,3.0
1973,53.1,30.9
1974,48.0,28.9
1975,43.0,28.0
1976,33.1,21.0
1977,29.8,23.9
1978,32.0,18.0
1979,34.0,5.0
1980,34.0,19.0
1981,53.1,28.0
1982,10.0,-2.9
1983,33.1,26.1
1984,39.0,25.0
1985,28.0,6.1
1986,37.9,26.1
1987,19.0,-5.1
1988,34.0,0.0
1989,43.0,32.0
1990,45.0,26.1
1991,15.1,-0.9
1992,28.9,14.0
1993,36.0,17.1
1994,37.0,30.9
1995,30.0,5.0
1996,30.9,8.1
1997,32.0,7.0
1998,32.0,24.1
1999,34.0,26.6
2000,21.9,-2.9
2001,28.0,12.9
2002,50.0,26.6
2003,34.0,1.9
2004,21.9,8.1
2005,43.0,21.0
2006,39.9,28.9
2007,28.0,15.1
2008,17.1,-5.1
2009,12.9,-2.0
2010,46.0,27.0
2011,28.9,15.1
2012,37.0,21.9
2013,28.0,5.0
2014,33.8,10.9
2015,43.0,26.1
2016,39.9,24.1
2017,42.1,35.1
2018,43.0,24.1
