YEAR,MAX,MIN
1947,47.3,34.3
1948,9.3,-3.6
1949,34.3,28.4
1950,31.3,6.4
1951,28.4,19.4
1952,32.4,20.3
1953,38.3,20.3
1954,32.4,23.4
1955,8.4,-13.5
1956,35.4,20.3
1957,16.3,3.4
1958,32.4,28.4
1959,23.4,-0.6
1960,34.3,28.9
1961,10.0,-4.7
1962,36.0,12.0
1963,6.4,-9.6
1964,27.3,5.4
1965,23.0,3.9
1966,20.3,-7.6
1967,28.9,24.1
1968,45.3,36.0
1969,31.3,17.1
1973,56.8,37.9
1974,39.9,32.0
1975,35.1,21.9
1976,14.0,-2.9
1977,12.9,-3.1
1978,17.1,3.9
1979,34.0,25.9
1980,10.0,3.0
1981,43.0,32.9
1982,37.9,7.0
1983,27.0,12.9
1984,41.0,21.9
1985,28.0,14.0
1986,5.0,-6.0
1987,26.1,6.1
1988,19.0,-7.1
1989,46.9,26.1
1990,48.9,33.1
1991,30.9,8.1
1992,33.1,26.1
1993,41.0,19.9
1994,32.0,19.9
1995,33.1,7.0
1996,43.0,18.0
1997,27.0,17.6
1998,36.0,30.2
1999,48.9,35.1
2000,26.1,7.0
2001,30.9,17.1
2002,59.0,34.0
2003,19.0,-7.1
2004,24.8,15.8
2005,21.9,15.8
2006,50.0,35.1
2007,43.0,20.1
2008,35.1,6.1
2009,19.9,-0.9
2010,24.1,9.0
2011,28.0,17.1
2012,43.0,32.0
2013,32.0,14.0
2014,30.0,-5.1
2015,32.0,15.1
2016,37.0,23.0
2017,34.0,24.1
2018,51.1,33.1
