YEAR,MAX,MIN
1947,79.3,69.3
1948,95.4,69.3
1949,78.3,49.3
1950,72.3,58.3
1951,86.4,70.3
1952,88.3,65.3
1953,95.4,64.4
1954,87.3,65.3
1955,91.2,70.3
1956,83.3,69.3
1957,80.2,66.4
1958,88.3,68.4
1959,90.0,69.1
1960,84.9,70.3
1961,88.3,63.0
1962,92.3,59.4
1963,85.3,59.0
1964,83.3,52.3
1965,64.0,41.0
1966,86.0,64.0
1967,81.0,57.9
1968,75.4,57.0
1969,89.1,72.0
1973,91.9,73.0
1974,77.0,53.1
1975,81.0,73.0
1976,77.0,57.9
1977,90.0,63.9
1978,79.0,63.0
1979,84.0,59.0
1980,95.0,69.1
1981,84.0,66.0
1982,72.0,43.0
1983,93.9,64.0
1984,93.9,66.0
1985,82.9,63.0
1986,70.0,42.1
1987,77.0,54.0
1988,73.0,48.0
1989,84.9,69.1
1990,93.0,64.9
1991,95.0,71.1
1992,79.0,51.1
1993,77.0,66.0
1994,79.0,53.1
1995,87.1,69.1
1996,78.1,64.0
1997,73.0,61.0
1998,84.9,66.0
1999,84.9,66.9
2000,84.9,64.0
2001,82.0,55.9
2002,79.0,61.0
2003,91.9,59.0
2004,77.0,57.0
2005,86.0,63.0
2006,71.1,62.6
2007,87.1,66.9
2008,84.9,63.0
2009,69.1,57.9
2010,93.9,64.9
2011,79.0,59.0
2012,86.0,63.0
2013,89.1,66.0
2014,86.0,66.9
2015,72.0,55.9
2016,86.0,70.0
2017,80.1,61.0
2018,91.0,66.0
