YEAR,MAX,MIN
1947,70.3,50.4
1948,78.1,51.3
1949,84.4,63.3
1950,54.3,47.3
1951,89.2,59.4
1952,89.2,64.4
1953,82.4,55.4
1954,95.4,73.4
1955,85.3,59.4
1956,87.3,73.0
1957,87.3,68.4
1958,73.4,46.4
1959,74.3,55.0
1960,76.3,52.0
1961,81.3,51.1
1962,90.3,64.4
1963,85.3,53.1
1964,85.3,66.9
1965,73.9,45.0
1966,77.0,54.0
1967,71.1,61.0
1968,82.4,61.3
1969,75.4,57.9
1973,82.0,61.0
1974,80.1,53.1
1975,82.9,68.0
1976,84.9,65.8
1977,92.8,72.0
1978,88.0,65.8
1979,77.9,55.9
1980,75.9,42.1
1981,82.0,52.0
1982,75.9,45.0
1983,75.9,54.0
1984,91.9,70.0
1985,75.9,53.1
1986,81.0,51.1
1987,93.9,59.0
1988,91.9,55.0
1989,81.0,50.0
1990,89.1,66.9
1991,84.9,55.0
1992,84.9,63.0
1993,91.0,64.0
1994,93.9,69.1
1995,91.9,64.9
1996,84.9,64.0
1997,80.1,54.0
1998,87.1,72.0
1999,72.0,46.0
2000,73.9,55.0
2001,91.0,54.0
2002,84.0,55.0
2003,90.0,52.0
2004,81.0,62.1
2005,71.1,51.1
2006,91.9,72.0
2007,91.0,69.1
2008,77.0,55.0
2009,80.1,61.0
2010,90.0,64.0
2011,84.0,60.1
2012,93.9,69.1
2013,84.9,55.4
2014,91.0,64.0
2015,79.0,55.9
2016,87.1,57.9
2017,87.1,69.1
2018,93.9,73.4
