YEAR,MAX,MIN
1947,78.3,64.4
1948,91.0,65.3
1949,84.4,62.4
1950,69.3,59.4
1951,81.3,53.4
1952,91.2,75.4
1953,86.4,72.3
1954,93.4,71.2
1955,89.2,66.4
1956,74.3,57.4
1957,91.2,67.3
1958,77.4,56.3
1959,86.4,60.1
1960,82.9,59.4
1961,85.3,60.4
1962,82.4,69.1
1963,80.4,63.3
1964,90.3,70.0
1965,78.1,60.1
1966,73.9,63.0
1967,80.1,55.9
1968,87.4,60.1
1969,79.0,69.1
1973,82.9,71.1
1974,88.0,68.0
1975,88.0,68.0
1976,90.0,72.9
1977,97.0,77.9
1978,90.0,70.0
1979,83.8,54.0
1980,100.0,73.0
1981,88.0,74.8
1982,82.9,62.1
1983,96.1,68.9
1984,87.1,54.0
1985,80.1,66.0
1986,95.0,72.0
1987,95.0,75.0
1988,86.0,64.0
1989,72.0,64.0
1990,88.0,66.9
1991,99.0,72.0
1992,84.9,57.9
1993,88.0,62.1
1994,90.0,68.0
1995,89.1,63.0
1996,71.1,61.0
1997,88.0,64.9
1998,90.0,69.1
1999,82.9,69.1
2000,75.0,55.9
2001,93.0,66.0
2002,90.0,62.1
2003,86.0,53.1
2004,89.1,60.1
2005,91.9,63.0
2006,88.0,64.9
2007,82.9,57.9
2008,86.0,68.0
2009,75.9,55.0
2010,86.0,68.0
2011,99.0,73.0
2012,82.9,71.1
2013,96.1,71.1
2014,82.0,57.0
2015,84.9,63.0
2016,91.0,68.0
2017,88.0,69.1
2018,87.1,66.9
